UserID,GameID,ClickCount,Rating,Buy
user_0,556591862,6,4,0
user_0,1402760239,5,3,0
user_0,1065838550,6,0,0
user_0,541315814,3,4,0
user_0,1463080343,6,3,0
user_0,1255833274,6,3,0
user_0,1112479661,4,4,0
user_0,1271631616,6,3,0
user_0,1120356826,3,4,0
user_0,1315400898,4,2,0
user_0,787234884,7,3,0
user_0,1383128676,3,3,0
user_0,1210298594,7,4,0
user_0,1061545342,2,2,0
user_0,1240124613,5,0,0
user_0,1073943593,3,4,0
user_0,1127715071,3,3,1
user_0,1327455320,5,0,0
user_0,834649910,4,0,0
user_0,1296888245,1,5,0
user_0,637969575,5,3,0
user_0,1005103173,1,2,0
user_1,1087019265,4,4,0
user_1,873896639,3,3,0
user_1,975807990,4,0,0
user_1,1312737778,5,0,1
user_1,1215488023,3,4,0
user_1,557789893,6,3,0
user_1,1281369951,5,3,0
user_1,961392072,4,0,0
user_1,1123413069,2,4,0
user_1,603096536,2,0,0
user_1,311466554,2,3,1
user_1,1009430157,2,5,0
user_1,385429453,5,5,0
user_1,1272829053,3,4,0
user_1,1435086580,2,0,0
user_1,1043738296,8,4,0
user_1,1387786081,4,2,0
user_1,1435995519,3,3,0
user_1,1282284743,5,5,0
user_1,1436617801,6,0,0
user_1,1017043151,3,0,0
user_1,910492448,6,0,0
user_2,1123003954,5,4,0
user_2,902977961,6,4,0
user_2,734800854,5,5,0
user_2,1299970598,1,2,0
user_2,1264660499,5,1,0
user_2,1341719804,3,0,0
user_2,744436884,4,3,0
user_2,462240529,4,4,0
user_2,1155167922,4,0,0
user_2,1184087680,4,5,0
user_2,1124262394,4,4,0
user_2,1092878151,2,0,1
user_2,640324526,4,2,0
user_2,1228095197,4,0,0
user_2,1444717767,5,4,0
user_2,1259431269,2,5,0
user_2,1084958300,5,2,1
user_2,1125678703,3,4,0
user_2,1166433635,6,0,0
user_2,323833695,8,0,0
user_2,559032900,2,0,1
user_2,1149474432,3,2,1
user_3,1289091961,3,4,0
user_3,1173352480,3,3,0
user_3,1054616056,4,4,0
user_3,1246783532,9,3,0
user_3,1249436061,4,4,1
user_3,1312684491,5,3,0
user_3,1220089828,10,0,0
